                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.69563,                0.39307,                0.90047,                0.91761,                0.89624,                0.91866,                0.57528,                 1.0795,                0.49368,                 1.0719,             0.00019821,             0.00019821,             0.00019821
                     92,                0.66814,                0.37194,                0.87634,                0.92239,                0.90334,                0.92164,                0.56336,                 1.0875,                0.49863,                 1.0697,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.6898,                0.37082,                0.90322,                0.92276,                0.92287,                0.93114,                0.57188,                 1.0878,                0.49095,                 1.0701,              0.0001652,              0.0001652,              0.0001652
                     94,                0.66779,                0.37091,                0.89706,                0.91878,                0.92305,                0.92937,                 0.5656,                 1.0964,                0.48705,                 1.0757,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.6411,                 0.3444,                0.88229,                0.89461,                0.91996,                0.91982,                0.57122,                 1.0868,                 0.4767,                 1.0722,             0.00013219,             0.00013219,             0.00013219
                     96,                0.64318,                 0.3503,                0.88512,                0.90743,                0.92756,                0.93179,                0.57571,                 1.0765,                0.47462,                   1.07,             0.00011569,             0.00011569,             0.00011569
                     97,                0.66264,                 0.3589,                0.88683,                 0.9126,                0.92143,                0.93378,                0.58355,                 1.0712,                0.47261,                 1.0672,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.65385,                0.34703,                0.90445,                0.92167,                0.93035,                0.94176,                0.58797,                 1.0713,                 0.4736,                 1.0653,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.66713,                0.35877,                0.89767,                0.91156,                0.91308,                0.93323,                0.58508,                 1.0747,                0.47373,                 1.0655,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 0.6057,                0.32583,                0.87319,                0.91267,                0.91238,                0.93259,                0.58577,                 1.0808,                0.47387,                 1.0673,             4.9677e-05,             4.9677e-05,             4.9677e-05
